Primitive,Variants,Parameters,Time (ms)
packing_one_lwe_to_glwe,xLWE,"PARAM_MESSAGE_2_CARRY_0",0.209547
packing_one_lwe_to_glwe,tLWE,"PARAM_MESSAGE_2_CARRY_0",0.052313
packing_one_lwe_to_glwe,xLWE,"PARAM_MESSAGE_3_CARRY_0",0.385297
packing_one_lwe_to_glwe,tLWE,"PARAM_MESSAGE_3_CARRY_0",0.045977
packing_one_lwe_to_glwe,xLWE,"PARAM_MESSAGE_4_CARRY_0",0.691389
packing_one_lwe_to_glwe,tLWE,"PARAM_MESSAGE_4_CARRY_0",0.069298
packing_one_lwe_to_glwe,xLWE,"PARAM_MESSAGE_5_CARRY_0",1.358782
packing_one_lwe_to_glwe,tLWE,"PARAM_MESSAGE_5_CARRY_0",0.077485
packing_one_lwe_to_glwe,xLWE,"PARAM_MESSAGE_6_CARRY_0",2.3532789999999997
packing_one_lwe_to_glwe,tLWE,"PARAM_MESSAGE_6_CARRY_0",0.11678899999999999
packing_one_lwe_to_glwe,xLWE,"PARAM_MESSAGE_7_CARRY_0",15.353286
packing_one_lwe_to_glwe,tLWE,"PARAM_MESSAGE_7_CARRY_0",0.233938
